,R-squared,MSE,MAE
Linear Regression,0.8441158536668147,0.19376534149371252,0.2619169585078934
Decision Tree,0.881258478006851,0.14759673834508258,0.25278780519531946
Random Forest,0.9551321268079334,0.05577115425564352,0.16629691860332782
Gradient Boosting,0.933093123037147,0.08316582646753191,0.2003218334736342
Support Vector Regressor,0.8550632564458961,0.180157625200203,0.2805134479433361
